issue_num,issue_title,option_num,option_text,Civil Rights,Economy,Political Freedom,Wealth Gaps,Death Rate,Compassion,Eco-Friendliness,Social Conservatism,Nudity,Industry: Automobile Manufacturing,Industry: Cheese Exports,Industry: Basket Weaving,Industry: Information Technology,Industry: Pizza Delivery,Industry: Trout Fishing,Industry: Arms Manufacturing,Sector: Agriculture,Industry: Beverage Sales,Industry: Timber Woodchipping,Industry: Mining,Industry: Insurance,Industry: Furniture Restoration,Industry: Retail,Industry: Book Publishing,Industry: Gambling,Sector: Manufacturing,Government Size,Welfare,Public Healthcare,Law Enforcement,Business Subsidization,Religiousness,Income Equality,Niceness,Rudeness,Intelligence,Ignorance,Political Apathy,Health,Cheerfulness,Weather,Compliance,Safety,Lifespan,Ideological Radicality,Defense Forces,Pacifism,Economic Freedom,Taxation,Freedom From Taxation,Corruption,Integrity,Authoritarianism,Employment,Public Transport,Tourism,Weaponization,Recreational Drug Use,Obesity,Secularism,Environmental Beauty,Charmlessness,Averageness,Human Development Index,Primitiveness,Scientific Advancement,Inclusiveness,Average Income,Average Income of Poor,Average Income of Rich,Public Education,Crime,Foreign Aid,Average Disposable Income,Patriotism,Food Quality,Accessibility,Youth Rebelliousness,Culture
3,#3 Harry Potter Censorship Row,2,3/4. the latest Harry Potter book is a bestseller,3.7322,0.0022,-0.004,-0.0003,-0.089,0.0005,-4.1954,-3.4886,7.1644,-16.7247,-16.8825,-21.7675,47.8035,-56.4494,-25.5246,-22.3958,-17.1378,-13.1005,-17.9636,-19.5526,-18.4253,-17.1254,-18.9807,773.3554,-127.6849,-60.8882,0.137,-12.9574,-11.2686,-11.8865,-6.1176,-5.0648,-0.0034,0.0005,-0.0015,2.6175,-2.6975,0.0004,0.0017,,-0.9918,0.4142,1.2325,0.0272,-0.3571,-13.043,-1.5149,0.0012,0.0869,-0.5213,0.0035,-0.0002,-125.1282,0.0321,-6.487,12.0026,0.0034,4.8165,-0.0083,0.0817,-0.0784,-0.5384,0.3571,0.4268,-5.0182,4.8506,0.0007,472.0738,230.057,1025.8213,286.616,-0.3203,-2.7052,293.7104,-0.1118,0.022,1.4593,-0.0002,0.0004
4,#4 Economic Collapse Looms!,1,1. all industry is owned and run by the government,,-3.2762,,-3.6693,-4.995,0.0049,394.7113,,,-138.9777,-185.7842,-264.4724,-163.8424,-114.4474,-250.7851,-76.9463,-169.6359,-117.7128,-188.5094,-164.1478,-125.344,-220.527,-68.0252,-202.5042,-277.4001,-479.2152,0.897,113.6502,193.9702,223.4339,300.0895,7.7725,22.9808,0.0059,-10.1099,0.1764,-0.1891,,-0.0013,,,2.3428,1.4927,1.0899,3.7514,183.7449,1.129,-111.9115,5.4129,-21.882,,,679.6889,7.143,171.8265,34.3181,-0.0925,0.0006,-0.3073,-0.0717,42.7268,-5.2159,-3.7514,-0.3134,-3.1538,-0.1655,0.6084,-589.198,31177.8978,-101814.8273,171.9653,-0.5602,135.4337,-6153.4128,0.1619,-2.0451,1.1698,,
4,#4 Economic Collapse Looms!,2,2/3. the government is attempting to revitalize a gutted private sector,-0.0003,7.821,-0.0236,6.2763,1.9504,,25.5541,0.0003,,126.3285,141.9089,131.0254,70.203,122.6415,301.8459,-42.8118,115.1201,74.4968,91.4647,24.7473,146.7162,136.4826,-16.798,159.3655,97.5217,214.1707,,142.422,55.4513,21.4613,-94.8526,,-10.1944,,12.5823,0.0649,-0.0417,,-0.0019,,-0.0101,-0.7555,-2.4012,-0.4193,-2.6611,37.4326,-0.7597,14.0149,-1.2792,3.7475,-0.004,0.0015,-501.0068,3.2601,57.0129,-4.3821,0.0214,-0.1077,0.3915,,-0.5727,0.4247,2.6611,1.6196,0.0837,1.451,,2753.6659,-6766.8801,44319.2177,78.0837,0.2104,50.0595,2760.2167,,2.6136,-34.1246,,
5,#5 Child Casino Shock,1,1. gambling is outlawed,0.0012,-8.7907,-0.0067,-2.7983,-0.3319,1.01,-14.2743,-0.0003,-0.013,-118.5324,-116.346,-133.3522,-121.2246,0.0174,-189.4945,-160.7616,-108.782,-75.4427,-101.1283,-101.5317,-134.2856,-107.4072,-84.0598,-134.2868,-2334.5159,-412.6136,0.0,-90.6475,-57.1974,-55.4452,5.2557,-0.0045,8.5981,0.8199,-6.136,-0.0002,-0.0009,0.0009,0.0008,,0.0016,1.117,4.4201,-0.2144,0.2949,-71.4234,3.2825,-9.8316,1.3921,-4.0388,0.0014,-0.0002,228.5671,-2.5118,-38.4537,20.5987,-0.051,0.5065,-0.4451,0.0,0.0034,-1.533,-0.2949,-1.8833,0.0037,-0.003,0.0104,-5337.2255,2385.4802,-32421.8133,-76.0358,-1.0333,-20.4741,-4936.9985,-0.0013,-2.9481,9.6754,-0.0011,
5,#5 Child Casino Shock,2,2. young children are regularly seen wagering pocket money at blackjack tables,0.0001,4.3416,-0.0153,2.1021,0.0951,-1.0015,29.3676,-0.0001,0.0019,5.4603,13.7016,14.0403,1.3009,-45.0849,79.1904,47.7337,6.979,-0.8794,2.8439,-10.2951,13.5023,2.5914,-24.7835,17.112,3024.9219,67.2106,0.0005,73.5789,47.1641,45.947,-1.5718,0.0721,-4.9444,-0.8784,3.4975,-0.0027,0.0087,-0.0027,0.0012,,-0.0041,-0.7149,-2.1665,0.2795,-0.0486,47.2847,-2.216,5.1527,-1.248,3.3643,0.0034,0.0021,-139.9781,1.0593,39.1024,-9.5353,0.043,-0.2223,0.1558,0.0015,-0.0147,1.1194,0.0486,1.0526,-0.0195,0.0035,,4100.5789,-195.0546,20528.8537,54.8129,0.5195,30.1032,3436.5604,0.0029,1.4605,-5.5975,,
6,#6 Appointment of Spiritual Advisor,1,1. the government is seen to favor traditionalist religions,0.0167,-0.0076,,0.0033,-0.0067,-0.0007,-1.1851,-0.0145,0.0679,-5.4944,-3.7463,-5.4133,-5.0712,-32.1336,-5.9006,-4.9426,-4.0589,-2.9743,-4.679,-4.9442,-3.9806,-4.1581,-4.0174,-4.8158,-3.7284,-15.849,0.1505,-3.1134,-3.3449,-4.5951,-1.9705,186.5976,-0.0107,-0.0009,-0.0025,0.0011,-0.0045,0.0016,-0.0012,,0.0084,-0.0012,0.0006,-0.0023,0.0004,-3.9005,-0.0558,-0.005,0.5296,-1.3356,-0.0,0.0,-0.3206,-0.0105,-2.0421,0.0516,0.0008,-0.6398,-0.0082,-0.9343,0.0764,0.0011,-0.0004,-0.0022,0.0219,-0.036,-3.1498,154.3775,64.3517,379.9955,-3.8897,0.0005,-1.0308,-213.5271,-0.0024,-1.0624,-1.6777,,
6,#6 Appointment of Spiritual Advisor,2,2. the government's religious works are headed by a New Age guru,1.3372,-0.004,-0.0105,-0.0042,0.0102,0.0005,-0.9837,-1.3571,2.4685,-1.6248,-1.889,-2.3971,-2.2074,-1.9042,-3.7756,-4.5764,-1.85,-1.6073,-2.2392,-2.4805,-1.7577,-1.809,-2.3166,-2.1694,0.9592,-8.599,0.0715,-2.1839,-2.0387,-2.3308,-1.3675,91.9158,0.003,0.0003,-0.0143,0.2414,-0.2624,0.0005,0.0011,,0.0,-0.034,-0.0496,-0.0071,0.0259,-2.1144,-0.7381,-0.0053,0.2354,-0.6574,-0.0023,-0.0001,-42.9762,-0.0275,-1.1998,-1.291,0.0137,3.9602,-0.0008,-0.5603,-0.0056,0.0233,-0.0259,-0.0033,0.0024,-0.0013,2.7335,78.0469,49.1238,119.0151,-2.2855,0.0229,-0.5852,-71.4864,-0.0479,0.9461,2.1214,,
6,#6 Appointment of Spiritual Advisor,3,"3. the nation's official head of religious affairs is an atheist used to be ""the government is avowedly atheist""",-0.0079,0.016,-0.0013,0.0004,0.0648,-0.0006,7.3527,0.0059,-0.013,5.743,6.8451,10.2505,9.9379,8.8999,16.1604,16.939,7.0207,6.9719,10.8016,14.5416,6.6741,8.2072,11.1576,8.3962,19.5241,32.9279,-0.3555,11.3533,13.1703,17.8927,13.2961,-277.1273,-0.0268,-0.0012,0.002,-0.0014,0.0018,,,-0.0007,-0.0303,-0.1895,-0.3444,-0.0067,-0.0037,14.3608,-0.2305,0.016,-1.1551,3.769,0.0002,-0.0,-2.4923,0.0996,8.5635,-3.852,0.0074,-0.0063,0.0006,6.733,-0.3975,0.264,0.0037,0.0012,-0.0072,0.0072,-0.0017,-401.8504,-232.7566,-800.3862,14.3586,0.1064,4.3308,397.5698,0.0037,-0.0014,-0.1594,-0.0014,
7,#7 Animal Liberation Front Strikes Again,1,1. Animal Liberationists are regularly arrested,-0.006,0.6218,-1.5999,0.597,0.9803,-0.5336,1.0026,0.0024,-0.0446,-8.0343,-8.6542,-10.5433,-24.2617,41.7278,2.7046,6.4821,876.9345,40.4912,-11.848,-13.4953,-5.5267,-10.9761,-12.0468,-10.119,-15.5317,-12.1057,0.0002,5.4205,0.3344,-2.3,-4.418,0.0366,-0.7962,-0.4584,-0.4534,-0.3465,0.3683,0.0011,-0.2655,,-0.9956,0.0547,-0.7211,-0.3453,-0.0616,-4.198,-0.5195,0.9629,-0.4104,0.9008,0.5038,-0.0862,-1.4639,0.167,2.2591,4.1137,-0.002,0.0025,0.2783,,-0.0608,-0.2786,0.0616,0.0302,-0.004,-0.0102,0.0027,815.063,-82.5856,4792.0992,-1.1443,-0.0235,3.1179,806.8949,-0.0022,0.4432,-7.6247,-0.0007,-0.0007
7,#7 Animal Liberation Front Strikes Again,2,2. meat-eating is frowned upon,-0.0038,-0.8721,-0.0001,-0.3194,-0.1727,0.5101,0.0606,0.0052,-0.0114,-8.6126,-3.544,-3.1272,0.2711,-4.2984,-6.1908,-33.045,-584.566,-2.087,-2.9453,-2.7668,-4.5256,-2.9991,-2.0877,-2.3441,-20.9666,-44.763,0.0007,-4.8214,-2.1769,-1.7295,0.7597,0.0002,0.8326,0.4184,-0.8417,-0.0006,-0.0002,0.0004,0.0014,,0.0134,0.1584,0.7853,0.0593,-0.0041,-2.2144,0.9452,-0.9222,0.3542,-0.6504,0.0003,-0.0,14.209,-0.2226,-1.9951,6.0413,-0.008,-0.0145,-0.0523,-0.0013,0.1826,-0.2319,0.0041,-0.1483,0.0181,-0.0194,0.0066,-712.3772,-5.2219,-3040.1114,-2.3975,-0.1327,-1.5594,-666.8793,0.0004,-0.5268,7.6617,,0.0019
7,#7 Animal Liberation Front Strikes Again,3,3. vegetarianism is compulsory,-2.4875,-1.052,0.0392,-0.9528,-1.9927,1.6743,15.2792,2.5635,-5.1103,21.6774,104.0606,40.4221,31.8045,81.8726,-1116.4333,-20.6144,-1807.3128,-38.0304,26.4571,60.4435,16.8533,33.6432,38.5396,18.3914,2.1763,41.5454,,12.9129,27.6206,37.7008,37.9681,,1.2604,1.3954,-1.6714,-0.4744,0.4161,-0.0057,0.5868,,11.8787,0.5032,1.1497,0.8503,-0.2018,34.4332,4.2885,-1.4174,1.5353,-2.2492,-0.0293,0.0017,98.3738,-0.4131,13.785,64.4478,-0.0553,-6.0788,-2.308,,73.9328,-5.0281,0.2018,0.0778,-0.002,-0.0027,,-1785.8324,-399.4419,-6994.6985,32.6456,-0.3272,3.8903,-1692.714,0.0943,-3.8164,5.8966,,-0.0074
7,#7 Animal Liberation Front Strikes Again,4,4. meat is a luxury afforded only to the wealthy,,-3.7214,-0.0073,-1.43,-0.2136,0.5391,-8.1279,,,-46.1803,-44.0361,-59.7517,-59.8859,-11.9379,-62.5456,-102.3364,-882.2611,-30.2853,-48.8878,-47.6583,-56.5881,-50.576,-48.4011,-56.1094,-80.896,-208.253,-0.0991,-34.1735,-26.0541,-28.0201,-191.0285,,1.5897,0.4681,-1.4577,-0.0034,-0.0015,,0.0034,,-0.0016,0.2993,1.5154,-0.0191,-0.1679,-35.5701,1.1354,-1.9657,0.1659,-0.2588,0.0144,-0.002,42.1457,-0.4061,-15.3275,9.7225,-0.0166,0.1276,-0.1058,,-0.0833,-0.9235,0.1679,-0.8618,-0.0095,0.0065,,-2267.4117,-194.9575,-10493.2215,-33.8093,-0.2409,-7.5806,-1781.8123,,-1.0478,11.93,,
8,#8 Nudists Demand Time in Sun,1,1. citizens can be frequently spotted going about their business stark naked,4.8969,0.0161,0.0091,0.0029,0.0419,-0.0015,-0.4923,-4.7869,69.7097,-1.6645,-3.9654,-4.9419,-7.412,-3.9605,-4.1357,-6.3,-4.914,-2.9393,-4.3303,-3.385,-3.5282,-4.056,-3.928,-4.7137,7.5,-12.9085,0.0009,-1.8278,-1.8841,-2.1313,-0.9533,-0.0093,-0.0223,-0.0006,1.2395,0.9425,-0.9285,-0.0011,0.0009,0.0003,-0.0177,-0.1261,-0.3387,-0.0188,-0.1613,-2.3855,-2.6806,0.0145,-0.1144,0.1744,0.0094,-0.0018,-131.5481,0.0115,-0.9899,2.2304,0.0436,7.3944,-0.0358,0.0,-0.1943,0.0018,0.1613,-0.0021,0.0086,-0.0017,0.001,147.9218,80.2123,295.9637,-2.5595,0.0881,-0.2603,146.6339,-0.1512,0.0024,2.8612,,
8,#8 Nudists Demand Time in Sun,2,2. public nudity is compulsory,-5.4715,-0.0035,,-0.0013,0.6424,-0.0088,13.0195,5.2271,1110.8604,-34.0681,-40.2444,-41.9849,-37.9177,102.2951,-3.7694,-27.6986,-29.6073,11.1728,-40.0524,-33.6166,10.2048,-41.0298,-391.4289,-37.7101,-54.0331,-103.326,0.0006,26.7775,29.4974,41.2816,23.9409,,0.0029,-0.487,-0.001,-1.1381,1.3637,,-0.3026,-0.4611,-1.9589,0.1503,0.4063,-0.3371,0.2023,41.7322,3.1257,-0.0047,1.0845,-1.3971,0.0021,-0.0011,151.872,-0.3063,18.985,-17.0405,-0.0617,-8.3561,0.2913,,1.2811,0.6204,-0.2023,-0.1132,0.0299,-2.2707,,-1067.1498,-520.9431,-2406.1645,35.4614,-0.1026,7.7469,-1181.4234,0.163,-0.3834,-3.387,,
8,#8 Nudists Demand Time in Sun,3,3. nudity is frowned upon,-1.7637,0.0052,-0.0072,-0.0009,-0.016,-0.0004,0.0788,1.7702,-24.1477,0.8408,0.1969,0.1025,0.2891,0.2613,-0.1926,0.2656,0.4806,-0.0427,0.2418,0.1284,0.2855,0.2175,0.3695,0.2294,-5.9951,1.2088,0.0003,0.2346,0.1493,0.3686,0.2245,0.0183,-0.0044,-0.0004,-1.2795,-0.3302,0.4143,0.0005,-0.0001,0.0,-0.0026,0.0515,0.1798,0.0098,-0.195,0.5001,1.2016,0.0027,0.0031,-0.0062,0.0046,-0.0006,22.052,-0.0003,0.1289,2.6682,-0.0241,-2.9589,0.0006,-0.0001,-0.0513,-0.0982,0.195,0.0041,0.0028,-0.0091,-0.003,-1.0239,0.2023,-10.9022,0.1238,-0.0477,0.0694,-3.0195,0.0601,-0.0017,-0.7405,0.0,
9,#9 @@ANIMALPLURAL@@ on the Dinner Table?,1,1. @@ANIMALPLURAL@@ are considered a delicacy,0.0161,0.5238,0.0007,0.1573,-0.0929,-0.5444,-2.0751,-0.0127,0.1173,-4.4215,-12.4877,-12.7741,-35.1093,-30.0663,-7.7879,-7.1192,1230.2838,-5.107,-12.12,-10.3627,-6.6689,-12.4885,-8.7412,-8.3531,2.4645,-24.3334,0.0011,1.0365,-3.8474,-8.3471,-6.5595,-0.0001,-0.6576,-0.4363,0.5592,0.0063,-0.0059,0.0046,0.0013,,-0.0057,-0.1133,-0.2834,0.0705,-0.0744,-7.6872,-0.7596,0.617,-0.6665,1.0706,0.0014,0.0001,-20.6391,0.2382,-0.1055,-3.894,0.0049,-0.1108,0.0164,0.0001,-0.0751,0.0854,0.0744,0.1466,-0.0093,0.0064,-0.0025,975.4904,340.1884,2734.5114,-6.4274,0.0688,1.9285,935.518,0.0002,0.9741,-2.257,,
9,#9 @@ANIMALPLURAL@@ on the Dinner Table?,2,2. a nation-wide cull of @@ANIMALPLURAL@@ is in effect,0.067,1.1787,,0.2345,-0.1148,-0.5736,14.3309,-0.0553,0.5625,31.6807,-22.3714,42.0545,40.9488,37.2845,-120.7027,60.5876,-87.0177,25.8215,27.7747,32.5759,39.3461,33.9725,30.5384,46.201,46.4328,134.2895,0.0003,42.1935,34.259,39.1749,14.9029,-0.0478,-1.3169,-0.506,0.9735,0.0138,-0.0188,,0.0111,,-1.9615,-0.1863,-0.558,0.1215,-0.0881,40.5221,-1.1077,1.2013,0.2402,-0.1522,,,-35.3888,0.2344,22.9932,-27.3752,0.0065,0.1839,0.1501,0.0026,-20.3286,0.6009,0.0881,0.2976,-0.062,0.0218,,395.5667,-135.9755,2282.7452,39.4651,0.1308,13.8895,50.7906,-0.0107,-0.0852,-3.5442,,-0.0048
9,#9 @@ANIMALPLURAL@@ on the Dinner Table?,3,3. the @@ANIMAL@@ is a protected species,-0.0071,-2.078,,-0.2705,0.084,0.5407,115.9626,0.0053,-0.0139,-21.8684,29.6956,-33.4604,-32.9873,30.419,182.8853,-60.6995,-1126.9039,-17.345,-24.1027,-24.3706,-22.8906,-29.4475,-25.726,-31.919,-36.631,-116.0026,0.0058,-22.6874,-15.704,-15.2096,-118.0004,0.5897,0.9353,0.4411,-0.7657,-0.0017,0.001,,0.0016,,1.9907,0.1515,0.6012,-0.1127,0.0561,-16.4823,1.1356,-0.9711,0.4678,-0.6887,,,25.8925,-0.3436,-8.7924,27.8687,-0.007,0.2615,-0.0983,-0.0027,24.276,-0.1353,-0.0561,-0.4883,0.0154,-0.0154,-0.0081,-1251.887,-353.2012,-3611.5123,-21.3114,-0.1137,-5.2415,-1040.1367,0.0002,-0.4331,2.3071,,
